file,delta_band_gap (eV),delta_h_corr (Hartree),delta_scf (Hartree),d_calc_pka (pKa),phenol_5_6_7,carbox_acid,benzoic_acid,thiol_thiophenol,aliphatic_alcohol,sec_amine_neg,heteorcyle_phen,alinine,primary_amine,tert_amine,sec_amine_sec_amine_ring,ring,aromatic,charge,hybridization,CBH_1,CBH_2,CBH_3,CBH_4,CBH_5,CBH_6,CBH_7,CBH_8,CBH_9,CBH_10,CBH_11,CBH_12,CBH_13,CBH_14,CBH_15,CBH_16,CBH_17,CBH_18,CBH_19,CBH_20,CBH_21,CBH_22,CBH_23,CBH_24,CBH_25,CBH_26,CBH_27,CBH_28,CBH_29,CBH_30,CBH_31,CBH_32,CBH_33,CBH_34,CBH_35,CBH_36,CBH_37,CBH_38,CBH_39,CBH_40,CBH_41,CBH_42,CBH_43,CBH_44,CBH_45,CBH_46,CBH_47,CBH_48,CBH_49,CBH_50,CBH_51,CBH_52,CBH_53,CBH_54,CBH_55,CBH_56,CBH_57,CBH_58,CBH_59,CBH_60,CBH_61,CBH_62,CBH_63,CBH_64,CBH_65,CBH_66,CBH_67,CBH_68,CBH_69,CBH_70,CBH_71,CBH_72,CBH_73,CBH_74,CBH_75,CBH_76,CBH_77,CBH_78,CBH_79,CBH_80,CBH_81,bond_length (angstrom),delta_e_extent (au),delta_tpsa,conjugate_acid,conjugate_base,exp_pka (pKa)
21,-8.00E-05,0.01418,-0.4607104,6.94,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0.125,0,0,0.3333,0,0,0,0,0,0.1667,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0.1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111,0,0,0,0,0,0,0,0,0,0,0,0,1.03,-100.7,1.62,COc1ccc(c(c1)[C@H](CNC(=O)C[NH3+:13])O)OC,COc1ccc(c(c1)[C@H](CNC(=O)C[NH2:13])O)OC,7.59
22,0.01509,0.014469,-0.46212938,7.71,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1429,0,0,0.1667,0,0,0,0,0,0,0,0.1111,0.125,0,0,0,1.03,-56.96,1.2,CC[NH+:23](CC)CC#CCOC(=O)[C@](c1ccccc1)(C2CCCCC2)O,CC[N:23](CC)CC#CCOC(=O)[C@](c1ccccc1)(C2CCCCC2)O,7.5
23,-0.00188,0.015584,-0.45711878,5.66,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0.1667,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1429,1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.125,0,0,0,0,0,0,0,0.3333,0.25,0,0,0,1.03,278.49,1.2,C[NH+:17](C)C[C@H]1CCCC[C@@]1(c2cccc(c2)OC)O,C[N:17](C)C[C@H]1CCCC[C@@]1(c2cccc(c2)OC)O,8.3
24,0.01055,0.014257,-0.44926527,2.32,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,0.3333,0.3333,0,0.0909,0,0,0,0,0,0.125,0,0.3333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1429,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1.03,-24.67,1.2,CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(c(c2)F)[NH+:18]3CCOCC3,CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(c(c2)F)[N:18]3CCOCC3,6.81
25,0.02481,0.012883,-0.44477853,0.44,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0.2,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,1.66,1.25,Cc1[nH+:7]cc(n1CCO)N(=O)=O,Cc1[n:7]cc(n1CCO)N(=O)=O,2.51
26,0.00149,0.014321,-0.46412438,8.51,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0.1,0.3333,0,0,0,0,0,0,0,0,0.1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1429,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,0,0,0,0.1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.25,0,0,0,0,0,0,0,0.125,0,0,0,0,1.03,232.92,1.62,CCOC(=O)C1=C(NC(=C([C@@H]1c2ccccc2Cl)C(=O)OC)C)COCC[NH3+:22],CCOC(=O)C1=C(NC(=C([C@@H]1c2ccccc2Cl)C(=O)OC)C)COCC[NH2:22],8.6
27,0.00065,0.012312,-0.45243353,4.6,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.1,0,0,0,0,0,0,0,0.3333,0,0,0,0,0.98,1.4,-2.83,C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)[OH:16],C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)[O-:16],4.2
28,-0.00069,0.014544,-0.45373312,4.27,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,0.25,0.125,0,0.3333,0,0,0,0,0,0,0.1667,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.2,0,0,0,0.1667,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111,0.1429,0,0,0,0,0,0,0,0,0,0.5,0,0,1.03,-68.92,1.2,Cc1cc(ccc1OCC(=O)[O-])C[N@H+:26]2Cc3ccccc3[C@@H]2C(=O)Nc4ccc(cc4Cl)Cl,Cc1cc(ccc1OCC(=O)[O-])C[N@:26]2Cc3ccccc3[C@@H]2C(=O)Nc4ccc(cc4Cl)Cl,5.6
29,0.00331,0.01239,-0.44604722,1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,0.1667,0.3333,0,0.0833,0,0,0,0,0,0,0.0667,0,0,0,0,0,0,0.1,0.0909,0,0,0,0,0,0,0,0.0769,0,0,0,0,0,0,0,0,0.0714,0,0,0,0.2,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0,0,0,0,0,0,0,0,0.1111,0,0,0.98,78.06,-2.83,Cc1cc(ccc1OCC(=O)[OH:30])C[N@H+]2Cc3ccccc3[C@@H]2C(=O)Nc4ccc(cc4Cl)Cl,Cc1cc(ccc1OCC(=O)[O-:30])C[N@H+]2Cc3ccccc3[C@@H]2C(=O)Nc4ccc(cc4Cl)Cl,3.1
30,-0.00126,0.014612,-0.4670355,9.89,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,0.25,0,0,0,0,0,0,0,0,0.3333,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0.1429,1,0,0,0.25,0,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0.125,0,0,0.1429,0,0,0,0,0.3333,0,0,0,0,1.03,-82.94,1.2,COc1ccc2c(c1)c(ccn2)[C@H]([C@@H]3C[C@@H]4CC[N@H+:22]3C[C@@H]4C=C)O,COc1ccc2c(c1)c(ccn2)[C@H]([C@@H]3C[C@@H]4CC[N@:22]3C[C@@H]4C=C)O,8.8
